iter	Passed	Remaining
0	158	158027
1	159	79562
2	160	53380
3	161	40297
4	163	32442
5	164	27220
6	165	23505
7	167	20729
8	168	18566
9	169	16806
10	171	15382
11	172	14203
12	173	13195
13	175	12328
14	176	11574
15	177	10921
16	178	10340
17	180	9846
18	181	9388
19	183	8970
20	184	8591
21	185	8247
22	187	7943
23	188	7660
24	189	7393
25	190	7147
26	191	6915
27	193	6702
28	194	6507
29	195	6330
30	197	6167
31	198	6011
32	200	5872
33	201	5738
34	202	5596
35	204	5462
36	205	5339
37	206	5221
38	207	5107
39	208	5000
40	209	4908
41	211	4828
42	214	4775
43	215	4691
44	217	4610
45	218	4536
46	220	4465
47	221	4392
48	222	4322
49	223	4255
50	226	4216
51	228	4171
52	230	4111
53	231	4053
54	232	3997
55	234	3945
56	235	3894
57	236	3844
58	238	3797
59	239	3749
60	241	3715
61	243	3682
62	244	3635
63	245	3591
64	246	3549
65	247	3508
66	248	3467
67	249	3421
68	250	3384
69	251	3346
70	252	3310
71	254	3274
72	255	3242
73	257	3221
74	259	3196
75	260	3166
76	261	3135
77	262	3104
78	263	3075
79	264	3045
80	265	3017
81	267	2990
82	268	2962
83	269	2935
84	269	2906
85	271	2883
86	272	2857
87	274	2841
88	275	2818
89	276	2794
90	277	2771
91	278	2749
92	279	2726
93	280	2705
94	281	2685
95	283	2665
96	284	2645
97	285	2625
98	286	2606
99	287	2591
100	289	2575
101	290	2556
102	291	2538
103	292	2520
104	293	2503
105	294	2486
106	295	2470
107	297	2453
108	298	2437
109	299	2422
110	300	2405
111	301	2391
112	303	2379
113	305	2370
114	306	2355
115	306	2339
116	308	2325
117	309	2310
118	310	2295
119	311	2281
120	312	2267
121	313	2254
122	313	2237
123	314	2225
124	316	2212
125	317	2200
126	318	2192
127	320	2182
128	321	2172
129	323	2162
130	324	2151
131	325	2141
132	326	2130
133	327	2119
134	329	2108
135	330	2098
136	331	2087
137	332	2076
138	334	2069
139	335	2062
140	337	2053
141	338	2043
142	339	2033
143	340	2023
144	341	2013
145	342	2003
146	343	1994
147	344	1985
148	345	1975
149	346	1966
150	348	1956
151	349	1950
152	351	1946
153	352	1938
154	354	1930
155	355	1922
156	356	1915
157	357	1907
158	358	1898
159	360	1890
160	361	1882
161	362	1874
162	363	1865
163	365	1861
164	366	1856
165	368	1849
166	369	1841
167	370	1833
168	371	1825
